,name,manufacturer,category,subcategory,feature
42,Bachmann 31-169 L&YR 2-4-2 Tank 50795 BR Lined Black Early Emblem,Bachmann,Hobbies , Model Trains & Railway Sets ,bachmann 31-169 l&yr 2-4-2 tank 50795 br lined black early emblem bachmann hobbies   model trains & railway sets 
43,Kato 8002 Koki 10000 Freight Wagon,Kato,Hobbies , Model Trains & Railway Sets ,kato 8002 koki 10000 freight wagon kato hobbies   model trains & railway sets 
44,Gaugemaster Single Track Controller/ Plug in Transformer,Gaugemaster,Hobbies , Model Trains & Railway Sets ,gaugemaster single track controller/ plug in transformer gaugemaster hobbies   model trains & railway sets 
45,Model Railway 'OO' / 'HO' Scale C83 Battle Of Britain Class 257 Squadron Locomotive Plastic Kit,Dapol,Hobbies , Model Trains & Railway Sets ,model railway 'oo' / 'ho' scale c83 battle of britain class 257 squadron locomotive plastic kit dapol hobbies   model trains & railway sets 
46,Walthers Proto 920-40695 EMD F7A RI No.676 (DCC-Sound),Sohni-Wicke,Hobbies , Model Trains & Railway Sets ,walthers proto 920-40695 emd f7a ri no.676 (dcc-sound) sohni-wicke hobbies   model trains & railway sets 
47,Hornby Railroad 00 Gauge LNER Class A1 Flying Scotsman with TTS Sound Steam Locomotive,Hornby,Hobbies , Model Trains & Railway Sets ,hornby railroad 00 gauge lner class a1 flying scotsman with tts sound steam locomotive hornby hobbies   model trains & railway sets 
48,Piko 57013 myTrain Diesel Locomotive,Piko,Hobbies , Model Trains & Railway Sets ,piko 57013 mytrain diesel locomotive piko hobbies   model trains & railway sets 
49,Train Tech DS6 One Touch DCC Signal Dual Home (R/G),Train Tech,Hobbies , Model Trains & Railway Sets ,train tech ds6 one touch dcc signal dual home (r/g) train tech hobbies   model trains & railway sets 
50,Kato 10-847 E259 Narita Express 3 Car Powered Set,Kato,Hobbies , Model Trains & Railway Sets ,kato 10-847 e259 narita express 3 car powered set kato hobbies   model trains & railway sets 
51,Hornby R3064 RailRoad BR Smokey Joe 00 Gauge Steam Locomotive,Hornby,Hobbies , Model Trains & Railway Sets ,hornby r3064 railroad br smokey joe 00 gauge steam locomotive hornby hobbies   model trains & railway sets 
52,Roco 10908 Seuthe Smoke Oil,Roco,Hobbies , Model Trains & Railway Sets ,roco 10908 seuthe smoke oil roco hobbies   model trains & railway sets 
53,Subway train 500 form three-car basic set red gauge N 10-1134 Marunouchi Line,CATO,Hobbies , Model Trains & Railway Sets ,subway train 500 form three-car basic set red gauge n 10-1134 marunouchi line cato hobbies   model trains & railway sets 
54,Dapol B800 Motorised Track Cleaning Wagon,Dapol,Hobbies , Model Trains & Railway Sets ,dapol b800 motorised track cleaning wagon dapol hobbies   model trains & railway sets 
55,Hornby R1174 Breakdown Hauler Train Set,Hornby,Hobbies , Model Trains & Railway Sets ,hornby r1174 breakdown hauler train set hornby hobbies   model trains & railway sets 
56,[NEW] Pureoroko C-58 water steam [NEW],Train,Hobbies , Model Trains & Railway Sets ,[new] pureoroko c-58 water steam [new] train hobbies   model trains & railway sets 
57,Train Tech SK2 Home Signal Kit with R/G LEDs,Train Tech,Hobbies , Model Trains & Railway Sets ,train tech sk2 home signal kit with r/g leds train tech hobbies   model trains & railway sets 
58,Kato 11-105 Small Type Moter Unit (for Bandai's B-train Shorty),Kato,Hobbies , Model Trains & Railway Sets ,kato 11-105 small type moter unit (for bandai's b-train shorty) kato hobbies   model trains & railway sets 
59,Class 47 47365 'Diamond Jubilee' BR Railfreight Distribution,Bachmann,Hobbies , Model Trains & Railway Sets ,class 47 47365 'diamond jubilee' br railfreight distribution bachmann hobbies   model trains & railway sets 
60,Piko 59497,Piko,Hobbies , Model Trains & Railway Sets ,piko 59497 piko hobbies   model trains & railway sets 
61,"Dapol Model Railway ""City of Truro"" Plastic Kit - OO Scale 1/76",Dapol,Hobbies , Model Trains & Railway Sets ,"dapol model railway ""city of truro"" plastic kit - oo scale 1/76 dapol hobbies   model trains & railway sets "
62,Ratio 575 Permanent Way Set (4 Wagons),Ratio,Hobbies , Model Trains & Railway Sets ,ratio 575 permanent way set (4 wagons) ratio hobbies   model trains & railway sets 
63,Piko H0 57633 H0 2.Kl. Personenwagen der DR B 2. Klasse der DR,Piko,Hobbies , Model Trains & Railway Sets ,piko h0 57633 h0 2.kl. personenwagen der dr b 2. klasse der dr piko hobbies   model trains & railway sets 
64,Hornby 00 Gauge 152mm GNR 0-6-2T Steam Locomotive Model,Hornby,Hobbies , Model Trains & Railway Sets ,hornby 00 gauge 152mm gnr 0-6-2t steam locomotive model hornby hobbies   model trains & railway sets 
65,SalesLa New Charming 4 Piece Wood Christmas Railway Wooden Train with 1 Engine Xmas Ornament Decor Gift Green,Sales La,Hobbies , Model Trains & Railway Sets ,salesla new charming 4 piece wood christmas railway wooden train with 1 engine xmas ornament decor gift green sales la hobbies   model trains & railway sets 
66,Dapol C102A 57ft Stanier Corridor Brake LMS Maroon Lined 5530 Kit,Dapol,Hobbies , Model Trains & Railway Sets ,dapol c102a 57ft stanier corridor brake lms maroon lined 5530 kit dapol hobbies   model trains & railway sets 
67,Corgi 1:120 Scale Rail Legends 'Trigo' A3 Class Die Cast Stream Locomotive,Corgi,Hobbies , Model Trains & Railway Sets ,corgi 1:120 scale rail legends 'trigo' a3 class die cast stream locomotive corgi hobbies   model trains & railway sets 
68,Märklin my world Battery Operated Signal,Märklin my world,Hobbies , Model Trains & Railway Sets ,märklin my world battery operated signal märklin my world hobbies   model trains & railway sets 
69,Bachmann 35-077 Class E4 0-6-2 32556 BR Black Early Emblem,Bachmann,Hobbies , Model Trains & Railway Sets ,bachmann 35-077 class e4 0-6-2 32556 br black early emblem bachmann hobbies   model trains & railway sets 
70,Thomas and Friends Track Master Dockside Delivery Crane Cargo and Cars Set,Mattel,Hobbies , Model Trains & Railway Sets ,thomas and friends track master dockside delivery crane cargo and cars set mattel hobbies   model trains & railway sets 
71,20Pcs Single-Head Model Garden Lights Lamppost Lamp Layout Scale: 1/100--Black,Generic,Hobbies , Model Trains & Railway Sets ,20pcs single-head model garden lights lamppost lamp layout scale: 1/100--black generic hobbies   model trains & railway sets 
72,Hornby 00 Gauge 247mm BR Gresley Teak Buffet Coach Model (Blue/ Grey),Hornby,Hobbies , Model Trains & Railway Sets ,hornby 00 gauge 247mm br gresley teak buffet coach model (blue/ grey) hornby hobbies   model trains & railway sets 
73,Hornby 00 Gauge BR Peppercorn Class A1 Tornado Mainline Blue Sound Steam Locomotive,Hornby,Hobbies , Model Trains & Railway Sets ,hornby 00 gauge br peppercorn class a1 tornado mainline blue sound steam locomotive hornby hobbies   model trains & railway sets 
74,Hornby R3125 GWR 2-8-0T Class 52XX 00 Gauge Steam Locomotive,Hornby,Hobbies , Model Trains & Railway Sets ,hornby r3125 gwr 2-8-0t class 52xx 00 gauge steam locomotive hornby hobbies   model trains & railway sets 
75,Hornby '00' Gauge R3169 RailRoad GWR 4-6-0 'Olton Hall' 4900 Hall Class Locomotive,Hornby,Hobbies , Model Trains & Railway Sets ,hornby '00' gauge r3169 railroad gwr 4-6-0 'olton hall' 4900 hall class locomotive hornby hobbies   model trains & railway sets 
76,Graham Farish 374-807 BR Mk1 RFO Restaurant Car Crimson & Cream,Graham Farish,Hobbies , Model Trains & Railway Sets ,graham farish 374-807 br mk1 rfo restaurant car crimson & cream graham farish hobbies   model trains & railway sets 
77,30 Ton Bogie Bolster BR Grey With Steel Pipes,RAILWAY - BACHMANN,Hobbies , Model Trains & Railway Sets ,30 ton bogie bolster br grey with steel pipes railway - bachmann hobbies   model trains & railway sets 
78,Hornby R3162A BR 2-BIL 2 Car EMU Pack,Hornby,Hobbies , Model Trains & Railway Sets ,hornby r3162a br 2-bil 2 car emu pack hornby hobbies   model trains & railway sets 
79,Ratio 610 GWR 4 wheel 3rd class 5 compartment coach,Ratio,Hobbies , Model Trains & Railway Sets ,ratio 610 gwr 4 wheel 3rd class 5 compartment coach ratio hobbies   model trains & railway sets 
80,Hornby 00 Gauge 152mm BR 0-6-2T Steam Locomotive Model,Hornby,Hobbies , Model Trains & Railway Sets ,hornby 00 gauge 152mm br 0-6-2t steam locomotive model hornby hobbies   model trains & railway sets 
81,Power Trains 2 Pack - Graffiti Freight,Power Trains,Hobbies , Model Trains & Railway Sets ,power trains 2 pack - graffiti freight power trains hobbies   model trains & railway sets 
82,Carousel Wooden Train Set (100 Piece),Carousel,Hobbies , Model Trains & Railway Sets ,carousel wooden train set (100 piece) carousel hobbies   model trains & railway sets 
83,Hornby Model Railway Railroad 0-4-0 Transatlanic Industries Train OO Gauge R3212,Hornby,Hobbies , Model Trains & Railway Sets ,hornby model railway railroad 0-4-0 transatlanic industries train oo gauge r3212 hornby hobbies   model trains & railway sets 
84,Piko 36165 35mm Metal Wheels (2 Axles),Piko,Hobbies , Model Trains & Railway Sets ,piko 36165 35mm metal wheels (2 axles) piko hobbies   model trains & railway sets 
85,Hornby '00' Gauge R3231 BR 0-6-0 J15 Class - Early BR Steam Locomotive,Hornby,Hobbies , Model Trains & Railway Sets ,hornby '00' gauge r3231 br 0-6-0 j15 class - early br steam locomotive hornby hobbies   model trains & railway sets 
86,TRIX T23228,Trix,Hobbies , Model Trains & Railway Sets ,trix t23228 trix hobbies   model trains & railway sets 
87,Coal Imitation 00 Gauge,Peptim Scenics,Hobbies , Model Trains & Railway Sets ,coal imitation 00 gauge peptim scenics hobbies   model trains & railway sets 
